date,sales,region
2018-03-29,1722.0,north
2018-03-29,1557.0,south
2018-03-29,1686.0,east
2018-03-29,1779.0,west
2018-03-30,1734.0,north
2018-03-30,1776.0,south
2018-03-30,1554.0,east
2018-03-30,1725.0,west
2018-03-31,1617.0,north
2018-03-31,1635.0,south
2018-03-31,1605.0,east
2018-03-31,1785.0,west
2018-04-01,1761.0,north
2018-04-01,1530.0,south
2018-04-01,1710.0,east
2018-04-01,1506.0,west
2018-04-02,1509.0,north
2018-04-02,1797.0,south
2018-04-02,1662.0,east
2018-04-02,1530.0,west
2018-04-03,1767.0,north
2018-04-03,1767.0,south
2018-04-03,1614.0,east
2018-04-03,1533.0,west
2018-04-04,1767.0,north
2018-04-04,1761.0,south
2018-04-04,1566.0,east
2018-04-04,1623.0,west
2018-04-05,1506.0,north
2018-04-05,1512.0,south
2018-04-05,1692.0,east
2018-04-05,1749.0,west
2018-04-06,1701.0,north
2018-04-06,1752.0,south
2018-04-06,1632.0,east
2018-04-06,1515.0,west
2018-04-07,1725.0,north
2018-04-07,1611.0,south
2018-04-07,1788.0,east
2018-04-07,1617.0,west
2018-04-08,1656.0,north
2018-04-08,1674.0,south
2018-04-08,1557.0,east
2018-04-08,1701.0,west
2018-04-09,1686.0,north
2018-04-09,1782.0,south
2018-04-09,1641.0,east
2018-04-09,1557.0,west
2018-04-10,1686.0,north
2018-04-10,1527.0,south
2018-04-10,1698.0,east
2018-04-10,1728.0,west
2018-04-11,1671.0,north
2018-04-11,1527.0,south
2018-04-11,1581.0,east
2018-04-11,1764.0,west
2018-04-12,1653.0,north
2018-04-12,1626.0,south
2018-04-12,1782.0,east
2018-04-12,1749.0,west
2018-04-13,1539.0,north
2018-04-13,1752.0,south
2018-04-13,1674.0,east
2018-04-13,1749.0,west
2018-04-14,1569.0,north
2018-04-14,1794.0,south
2018-04-14,1674.0,east
2018-04-14,1638.0,west
2018-04-15,1515.0,north
2018-04-15,1527.0,south
2018-04-15,1602.0,east
2018-04-15,1653.0,west
2018-04-16,1602.0,north
2018-04-16,1707.0,south
2018-04-16,1548.0,east
2018-04-16,1527.0,west
2018-04-17,1599.0,north
2018-04-17,1728.0,south
2018-04-17,1704.0,east
2018-04-17,1539.0,west
2018-04-18,1545.0,north
2018-04-18,1797.0,south
2018-04-18,1515.0,east
2018-04-18,1719.0,west
2018-04-19,1713.0,north
2018-04-19,1674.0,south
2018-04-19,1767.0,east
2018-04-19,1767.0,west
2018-04-20,1668.0,north
2018-04-20,1620.0,south
2018-04-20,1677.0,east
2018-04-20,1509.0,west
2018-04-21,1683.0,north
2018-04-21,1743.0,south
2018-04-21,1644.0,east
2018-04-21,1578.0,west
2018-04-22,1572.0,north
2018-04-22,1545.0,south
2018-04-22,1557.0,east
2018-04-22,1626.0,west
2018-04-23,1710.0,north
2018-04-23,1659.0,south
2018-04-23,1665.0,east
2018-04-23,1521.0,west
2018-04-24,1503.0,north
2018-04-24,1650.0,south
2018-04-24,1689.0,east
2018-04-24,1743.0,west
2018-04-25,1623.0,north
2018-04-25,1503.0,south
2018-04-25,1758.0,east
2018-04-25,1557.0,west
2018-04-26,1713.0,north
2018-04-26,1734.0,south
2018-04-26,1740.0,east
2018-04-26,1563.0,west
2018-04-27,1716.0,north
2018-04-27,1791.0,south
2018-04-27,1674.0,east
2018-04-27,1716.0,west
2018-04-28,1632.0,north
2018-04-28,1641.0,south
2018-04-28,1584.0,east
2018-04-28,1590.0,west
2018-04-29,1713.0,north
2018-04-29,1593.0,south
2018-04-29,1740.0,east
2018-04-29,1638.0,west
2018-04-30,1653.0,north
2018-04-30,1590.0,south
2018-04-30,1593.0,east
2018-04-30,1602.0,west
2018-05-01,1785.0,north
2018-05-01,1764.0,south
2018-05-01,1506.0,east
2018-05-01,1536.0,west
2018-05-02,1623.0,north
2018-05-02,1674.0,south
2018-05-02,1791.0,east
2018-05-02,1653.0,west
2018-05-03,1785.0,north
2018-05-03,1569.0,south
2018-05-03,1500.0,east
2018-05-03,1770.0,west
2018-05-04,1653.0,north
2018-05-04,1590.0,south
2018-05-04,1671.0,east
2018-05-04,1629.0,west
2018-05-05,1578.0,north
2018-05-05,1665.0,south
2018-05-05,1575.0,east
2018-05-05,1587.0,west
2018-05-06,1674.0,north
2018-05-06,1785.0,south
2018-05-06,1719.0,east
2018-05-06,1617.0,west
2018-05-07,1794.0,north
2018-05-07,1563.0,south
2018-05-07,1728.0,east
2018-05-07,1740.0,west
2018-05-08,1617.0,north
2018-05-08,1650.0,south
2018-05-08,1728.0,east
2018-05-08,1635.0,west
2018-05-09,1584.0,north
2018-05-09,1647.0,south
2018-05-09,1551.0,east
2018-05-09,1512.0,west
2018-05-10,1737.0,north
2018-05-10,1551.0,south
2018-05-10,1515.0,east
2018-05-10,1716.0,west
2018-05-11,1746.0,north
2018-05-11,1677.0,south
2018-05-11,1584.0,east
2018-05-11,1617.0,west
2018-05-12,1743.0,north
2018-05-12,1533.0,south
2018-05-12,1521.0,east
2018-05-12,1578.0,west
2018-05-13,1545.0,north
2018-05-13,1713.0,south
2018-05-13,1665.0,east
2018-05-13,1644.0,west
2018-05-14,1776.0,north
2018-05-14,1560.0,south
2018-05-14,1644.0,east
2018-05-14,1503.0,west
2018-05-15,1800.0,north
2018-05-15,1758.0,south
2018-05-15,1701.0,east
2018-05-15,1671.0,west
2018-05-16,1593.0,north
2018-05-16,1617.0,south
2018-05-16,1626.0,east
2018-05-16,1629.0,west
2018-05-17,1728.0,north
2018-05-17,1506.0,south
2018-05-17,1590.0,east
2018-05-17,1626.0,west
2018-05-18,1782.0,north
2018-05-18,1572.0,south
2018-05-18,1539.0,east
2018-05-18,1509.0,west
2018-05-19,1788.0,north
2018-05-19,1713.0,south
2018-05-19,1626.0,east
2018-05-19,1629.0,west
2018-05-20,1548.0,north
2018-05-20,1716.0,south
2018-05-20,1752.0,east
2018-05-20,1638.0,west
2018-05-21,1575.0,north
2018-05-21,1671.0,south
2018-05-21,1626.0,east
2018-05-21,1572.0,west
2018-05-22,1572.0,north
2018-05-22,1569.0,south
2018-05-22,1581.0,east
2018-05-22,1521.0,west
2018-05-23,1641.0,north
2018-05-23,1692.0,south
2018-05-23,1713.0,east
2018-05-23,1563.0,west
2018-05-24,1524.0,north
2018-05-24,1533.0,south
2018-05-24,1695.0,east
2018-05-24,1533.0,west
2018-05-25,1599.0,north
2018-05-25,1665.0,south
2018-05-25,1713.0,east
2018-05-25,1644.0,west
2018-05-26,1776.0,north
2018-05-26,1530.0,south
2018-05-26,1650.0,east
2018-05-26,1512.0,west
2018-05-27,1629.0,north
2018-05-27,1707.0,south
2018-05-27,1521.0,east
2018-05-27,1761.0,west
2018-05-28,1755.0,north
2018-05-28,1659.0,south
2018-05-28,1800.0,east
2018-05-28,1539.0,west
2018-05-29,1713.0,north
2018-05-29,1752.0,south
2018-05-29,1629.0,east
2018-05-29,1635.0,west
2018-05-30,1674.0,north
2018-05-30,1701.0,south
2018-05-30,1614.0,east
2018-05-30,1794.0,west
2018-05-31,1725.0,north
2018-05-31,1659.0,south
2018-05-31,1536.0,east
2018-05-31,1620.0,west
2018-06-01,1794.0,north
2018-06-01,1623.0,south
2018-06-01,1665.0,east
2018-06-01,1671.0,west
2018-06-02,1752.0,north
2018-06-02,1707.0,south
2018-06-02,1797.0,east
2018-06-02,1668.0,west
2018-06-03,1596.0,north
2018-06-03,1503.0,south
2018-06-03,1578.0,east
2018-06-03,1680.0,west
2018-06-04,1608.0,north
2018-06-04,1683.0,south
2018-06-04,1572.0,east
2018-06-04,1656.0,west
2018-06-05,1713.0,north
2018-06-05,1698.0,south
2018-06-05,1557.0,east
2018-06-05,1782.0,west
2018-06-06,1695.0,north
2018-06-06,1680.0,south
2018-06-06,1761.0,east
2018-06-06,1659.0,west
2018-06-07,1518.0,north
2018-06-07,1572.0,south
2018-06-07,1785.0,east
2018-06-07,1557.0,west
2018-06-08,1719.0,north
2018-06-08,1677.0,south
2018-06-08,1695.0,east
2018-06-08,1602.0,west
2018-06-09,1782.0,north
2018-06-09,1773.0,south
2018-06-09,1656.0,east
2018-06-09,1665.0,west
2018-06-10,1578.0,north
2018-06-10,1641.0,south
2018-06-10,1737.0,east
2018-06-10,1557.0,west
2018-06-11,1788.0,north
2018-06-11,1677.0,south
2018-06-11,1698.0,east
2018-06-11,1728.0,west
2018-06-12,1776.0,north
2018-06-12,1551.0,south
2018-06-12,1548.0,east
2018-06-12,1542.0,west
2018-06-13,1683.0,north
2018-06-13,1683.0,south
2018-06-13,1572.0,east
2018-06-13,1683.0,west
2018-06-14,1761.0,north
2018-06-14,1668.0,south
2018-06-14,1599.0,east
2018-06-14,1593.0,west
2018-06-15,1623.0,north
2018-06-15,1737.0,south
2018-06-15,1593.0,east
2018-06-15,1788.0,west
2018-06-16,1659.0,north
2018-06-16,1641.0,south
2018-06-16,1575.0,east
2018-06-16,1611.0,west
2018-06-17,1599.0,north
2018-06-17,1530.0,south
2018-06-17,1608.0,east
2018-06-17,1626.0,west
2018-06-18,1530.0,north
2018-06-18,1707.0,south
2018-06-18,1611.0,east
2018-06-18,1635.0,west
2018-06-19,1593.0,north
2018-06-19,1749.0,south
2018-06-19,1623.0,east
2018-06-19,1608.0,west
2018-06-20,1665.0,north
2018-06-20,1659.0,south
2018-06-20,1734.0,east
2018-06-20,1557.0,west
2018-06-21,1797.0,north
2018-06-21,1587.0,south
2018-06-21,1557.0,east
2018-06-21,1542.0,west
2018-06-22,1743.0,north
2018-06-22,1797.0,south
2018-06-22,1686.0,east
2018-06-22,1683.0,west
2018-06-23,1791.0,north
2018-06-23,1554.0,south
2018-06-23,1695.0,east
2018-06-23,1566.0,west
2018-06-24,1563.0,north
2018-06-24,1623.0,south
2018-06-24,1530.0,east
2018-06-24,1662.0,west
2018-06-25,1650.0,north
2018-06-25,1602.0,south
2018-06-25,1548.0,east
2018-06-25,1623.0,west
2018-06-26,1728.0,north
2018-06-26,1533.0,south
2018-06-26,1503.0,east
2018-06-26,1629.0,west
2018-06-27,1581.0,north
2018-06-27,1659.0,south
2018-06-27,1707.0,east
2018-06-27,1665.0,west
2018-06-28,1563.0,north
2018-06-28,1638.0,south
2018-06-28,1692.0,east
2018-06-28,1503.0,west
2018-06-29,1686.0,north
2018-06-29,1764.0,south
2018-06-29,1629.0,east
2018-06-29,1779.0,west
2018-06-30,1554.0,north
2018-06-30,1653.0,south
2018-06-30,1515.0,east
2018-06-30,1557.0,west
2018-07-01,1746.0,north
2018-07-01,1671.0,south
2018-07-01,1716.0,east
2018-07-01,1554.0,west
2018-07-02,1695.0,north
2018-07-02,1611.0,south
2018-07-02,1680.0,east
2018-07-02,1671.0,west
2018-07-03,1644.0,north
2018-07-03,1638.0,south
2018-07-03,1623.0,east
2018-07-03,1515.0,west
2018-07-04,1743.0,north
2018-07-04,1587.0,south
2018-07-04,1764.0,east
2018-07-04,1572.0,west
2018-07-05,1752.0,north
2018-07-05,1647.0,south
2018-07-05,1575.0,east
2018-07-05,1500.0,west
2018-07-06,1743.0,north
2018-07-06,1566.0,south
2018-07-06,1758.0,east
2018-07-06,1689.0,west
2018-07-07,1776.0,north
2018-07-07,1770.0,south
2018-07-07,1695.0,east
2018-07-07,1566.0,west
2018-07-08,1623.0,north
2018-07-08,1776.0,south
2018-07-08,1515.0,east
2018-07-08,1761.0,west
2018-07-09,1623.0,north
2018-07-09,1788.0,south
2018-07-09,1542.0,east
2018-07-09,1515.0,west
2018-07-10,1794.0,north
2018-07-10,1794.0,south
2018-07-10,1755.0,east
2018-07-10,1761.0,west
2018-07-11,1605.0,north
2018-07-11,1569.0,south
2018-07-11,1638.0,east
2018-07-11,1677.0,west
2018-07-12,1593.0,north
2018-07-12,1500.0,south
2018-07-12,1539.0,east
2018-07-12,1719.0,west
2018-07-13,1749.0,north
2018-07-13,1596.0,south
2018-07-13,1680.0,east
2018-07-13,1509.0,west
2018-07-14,1500.0,north
2018-07-14,1653.0,south
2018-07-14,1620.0,east
2018-07-14,1575.0,west
2018-07-15,1737.0,north
2018-07-15,1713.0,south
2018-07-15,1698.0,east
2018-07-15,1539.0,west
2018-07-16,1773.0,north
2018-07-16,1707.0,south
2018-07-16,1554.0,east
2018-07-16,1515.0,west
2018-07-17,1551.0,north
2018-07-17,1566.0,south
2018-07-17,1788.0,east
2018-07-17,1614.0,west
2018-07-18,1704.0,north
2018-07-18,1656.0,south
2018-07-18,1530.0,east
2018-07-18,1659.0,west
2018-07-19,1620.0,north
2018-07-19,1725.0,south
2018-07-19,1704.0,east
2018-07-19,1527.0,west
2018-07-20,1731.0,north
2018-07-20,1761.0,south
2018-07-20,1644.0,east
2018-07-20,1653.0,west
2018-07-21,1725.0,north
2018-07-21,1698.0,south
2018-07-21,1662.0,east
2018-07-21,1656.0,west
2018-07-22,1608.0,north
2018-07-22,1773.0,south
2018-07-22,1659.0,east
2018-07-22,1647.0,west
2018-07-23,1638.0,north
2018-07-23,1623.0,south
2018-07-23,1719.0,east
2018-07-23,1629.0,west
2018-07-24,1701.0,north
2018-07-24,1725.0,south
2018-07-24,1752.0,east
2018-07-24,1557.0,west
2018-07-25,1500.0,north
2018-07-25,1707.0,south
2018-07-25,1533.0,east
2018-07-25,1737.0,west
2018-07-26,1605.0,north
2018-07-26,1767.0,south
2018-07-26,1551.0,east
2018-07-26,1521.0,west
2018-07-27,1659.0,north
2018-07-27,1611.0,south
2018-07-27,1695.0,east
2018-07-27,1632.0,west
2018-07-28,1515.0,north
2018-07-28,1584.0,south
2018-07-28,1596.0,east
2018-07-28,1743.0,west
2018-07-29,1791.0,north
2018-07-29,1599.0,south
2018-07-29,1749.0,east
2018-07-29,1755.0,west
2018-07-30,1755.0,north
2018-07-30,1662.0,south
2018-07-30,1509.0,east
2018-07-30,1776.0,west
2018-07-31,1695.0,north
2018-07-31,1707.0,south
2018-07-31,1548.0,east
2018-07-31,1578.0,west
2018-08-01,1563.0,north
2018-08-01,1674.0,south
2018-08-01,1554.0,east
2018-08-01,1665.0,west
2018-08-02,1527.0,north
2018-08-02,1617.0,south
2018-08-02,1548.0,east
2018-08-02,1671.0,west
2018-08-03,1668.0,north
2018-08-03,1671.0,south
2018-08-03,1719.0,east
2018-08-03,1668.0,west
2018-08-04,1536.0,north
2018-08-04,1734.0,south
2018-08-04,1743.0,east
2018-08-04,1776.0,west
2018-08-05,1650.0,north
2018-08-05,1599.0,south
2018-08-05,1614.0,east
2018-08-05,1773.0,west
2018-08-06,1611.0,north
2018-08-06,1605.0,south
2018-08-06,1554.0,east
2018-08-06,1788.0,west
2018-08-07,1566.0,north
2018-08-07,1560.0,south
2018-08-07,1551.0,east
2018-08-07,1626.0,west
2018-08-08,1665.0,north
2018-08-08,1539.0,south
2018-08-08,1506.0,east
2018-08-08,1617.0,west
2018-08-09,1797.0,north
2018-08-09,1794.0,south
2018-08-09,1620.0,east
2018-08-09,1683.0,west
2018-08-10,1620.0,north
2018-08-10,1554.0,south
2018-08-10,1701.0,east
2018-08-10,1785.0,west
2018-08-11,1689.0,north
2018-08-11,1650.0,south
2018-08-11,1533.0,east
2018-08-11,1587.0,west
2018-08-12,1509.0,north
2018-08-12,1743.0,south
2018-08-12,1719.0,east
2018-08-12,1743.0,west
2018-08-13,1701.0,north
2018-08-13,1629.0,south
2018-08-13,1638.0,east
2018-08-13,1611.0,west
2018-08-14,1623.0,north
2018-08-14,1635.0,south
2018-08-14,1716.0,east
2018-08-14,1707.0,west
2018-08-15,1602.0,north
2018-08-15,1542.0,south
2018-08-15,1800.0,east
2018-08-15,1734.0,west
2018-08-16,1788.0,north
2018-08-16,1614.0,south
2018-08-16,1743.0,east
2018-08-16,1770.0,west
2018-08-17,1776.0,north
2018-08-17,1713.0,south
2018-08-17,1623.0,east
2018-08-17,1752.0,west
2018-08-18,1527.0,north
2018-08-18,1776.0,south
2018-08-18,1689.0,east
2018-08-18,1713.0,west
2018-08-19,1509.0,north
2018-08-19,1575.0,south
2018-08-19,1701.0,east
2018-08-19,1575.0,west
2018-08-20,1581.0,north
2018-08-20,1779.0,south
2018-08-20,1662.0,east
2018-08-20,1506.0,west
2018-08-21,1794.0,north
2018-08-21,1659.0,south
2018-08-21,1644.0,east
2018-08-21,1707.0,west
2018-08-22,1704.0,north
2018-08-22,1500.0,south
2018-08-22,1539.0,east
2018-08-22,1800.0,west
2018-08-23,1557.0,north
2018-08-23,1554.0,south
2018-08-23,1788.0,east
2018-08-23,1563.0,west
2018-08-24,1548.0,north
2018-08-24,1560.0,south
2018-08-24,1734.0,east
2018-08-24,1644.0,west
2018-08-25,1629.0,north
2018-08-25,1677.0,south
2018-08-25,1764.0,east
2018-08-25,1515.0,west
2018-08-26,1542.0,north
2018-08-26,1545.0,south
2018-08-26,1668.0,east
2018-08-26,1584.0,west
2018-08-27,1605.0,north
2018-08-27,1740.0,south
2018-08-27,1602.0,east
2018-08-27,1509.0,west
2018-08-28,1566.0,north
2018-08-28,1680.0,south
2018-08-28,1656.0,east
2018-08-28,1722.0,west
2018-08-29,1662.0,north
2018-08-29,1794.0,south
2018-08-29,1734.0,east
2018-08-29,1647.0,west
2018-08-30,1635.0,north
2018-08-30,1743.0,south
2018-08-30,1665.0,east
2018-08-30,1770.0,west
2018-08-31,1749.0,north
2018-08-31,1695.0,south
2018-08-31,1644.0,east
2018-08-31,1602.0,west
2018-09-01,1560.0,north
2018-09-01,1500.0,south
2018-09-01,1719.0,east
2018-09-01,1557.0,west
2018-09-02,1527.0,north
2018-09-02,1653.0,south
2018-09-02,1506.0,east
2018-09-02,1575.0,west
2018-09-03,1749.0,north
2018-09-03,1770.0,south
2018-09-03,1674.0,east
2018-09-03,1650.0,west
2018-09-04,1794.0,north
2018-09-04,1509.0,south
2018-09-04,1785.0,east
2018-09-04,1539.0,west
2018-09-05,1731.0,north
2018-09-05,1617.0,south
2018-09-05,1656.0,east
2018-09-05,1599.0,west
2018-09-06,1713.0,north
2018-09-06,1506.0,south
2018-09-06,1758.0,east
2018-09-06,1650.0,west
2018-09-07,1791.0,north
2018-09-07,1623.0,south
2018-09-07,1776.0,east
2018-09-07,1653.0,west
2018-09-08,1659.0,north
2018-09-08,1755.0,south
2018-09-08,1533.0,east
2018-09-08,1557.0,west
2018-09-09,1527.0,north
2018-09-09,1614.0,south
2018-09-09,1638.0,east
2018-09-09,1704.0,west
2018-09-10,1650.0,north
2018-09-10,1656.0,south
2018-09-10,1782.0,east
2018-09-10,1527.0,west
2018-09-11,1578.0,north
2018-09-11,1767.0,south
2018-09-11,1749.0,east
2018-09-11,1524.0,west
2018-09-12,1719.0,north
2018-09-12,1695.0,south
2018-09-12,1740.0,east
2018-09-12,1533.0,west
2018-09-13,1653.0,north
2018-09-13,1560.0,south
2018-09-13,1677.0,east
2018-09-13,1539.0,west
2018-09-14,1713.0,north
2018-09-14,1554.0,south
2018-09-14,1743.0,east
2018-09-14,1701.0,west
2018-09-15,1587.0,north
2018-09-15,1512.0,south
2018-09-15,1698.0,east
2018-09-15,1746.0,west
2018-09-16,1554.0,north
2018-09-16,1554.0,south
2018-09-16,1782.0,east
2018-09-16,1782.0,west
2018-09-17,1764.0,north
2018-09-17,1620.0,south
2018-09-17,1545.0,east
2018-09-17,1722.0,west
2018-09-18,1503.0,north
2018-09-18,1530.0,south
2018-09-18,1737.0,east
2018-09-18,1692.0,west
2018-09-19,1542.0,north
2018-09-19,1758.0,south
2018-09-19,1779.0,east
2018-09-19,1593.0,west
2018-09-20,1686.0,north
2018-09-20,1749.0,south
2018-09-20,1662.0,east
2018-09-20,1569.0,west
2018-09-21,1590.0,north
2018-09-21,1665.0,south
2018-09-21,1716.0,east
2018-09-21,1704.0,west
2018-09-22,1632.0,north
2018-09-22,1581.0,south
2018-09-22,1758.0,east
2018-09-22,1641.0,west
2018-09-23,1731.0,north
2018-09-23,1677.0,south
2018-09-23,1728.0,east
2018-09-23,1755.0,west
2018-09-24,1611.0,north
2018-09-24,1593.0,south
2018-09-24,1797.0,east
2018-09-24,1560.0,west
2018-09-25,1530.0,north
2018-09-25,1770.0,south
2018-09-25,1611.0,east
2018-09-25,1701.0,west
2018-09-26,1617.0,north
2018-09-26,1515.0,south
2018-09-26,1713.0,east
2018-09-26,1500.0,west
2018-09-27,1632.0,north
2018-09-27,1713.0,south
2018-09-27,1743.0,east
2018-09-27,1587.0,west
2018-09-28,1749.0,north
2018-09-28,1533.0,south
2018-09-28,1653.0,east
2018-09-28,1512.0,west
2018-09-29,1518.0,north
2018-09-29,1623.0,south
2018-09-29,1701.0,east
2018-09-29,1596.0,west
2018-09-30,1746.0,north
2018-09-30,1536.0,south
2018-09-30,1659.0,east
2018-09-30,1524.0,west
2018-10-01,1782.0,north
2018-10-01,1632.0,south
2018-10-01,1755.0,east
2018-10-01,1650.0,west
2018-10-02,1680.0,north
2018-10-02,1701.0,south
2018-10-02,1800.0,east
2018-10-02,1740.0,west
2018-10-03,1563.0,north
2018-10-03,1788.0,south
2018-10-03,1536.0,east
2018-10-03,1764.0,west
2018-10-04,1512.0,north
2018-10-04,1560.0,south
2018-10-04,1626.0,east
2018-10-04,1797.0,west
2018-10-05,1779.0,north
2018-10-05,1683.0,south
2018-10-05,1713.0,east
2018-10-05,1794.0,west
2018-10-06,1584.0,north
2018-10-06,1647.0,south
2018-10-06,1596.0,east
2018-10-06,1515.0,west
2018-10-07,1533.0,north
2018-10-07,1608.0,south
2018-10-07,1794.0,east
2018-10-07,1578.0,west
2018-10-08,1701.0,north
2018-10-08,1617.0,south
2018-10-08,1779.0,east
2018-10-08,1785.0,west
2018-10-09,1680.0,north
2018-10-09,1590.0,south
2018-10-09,1551.0,east
2018-10-09,1587.0,west
2018-10-10,1749.0,north
2018-10-10,1701.0,south
2018-10-10,1599.0,east
2018-10-10,1506.0,west
2018-10-11,1596.0,north
2018-10-11,1800.0,south
2018-10-11,1749.0,east
2018-10-11,1674.0,west
2018-10-12,1782.0,north
2018-10-12,1647.0,south
2018-10-12,1542.0,east
2018-10-12,1656.0,west
2018-10-13,1581.0,north
2018-10-13,1713.0,south
2018-10-13,1722.0,east
